URL, Price, Title, Author, Language, Binding, Publisher, Genre, ISBN10, ISBN13(Double Click to view), Pages, Edition,,,,
https://www.flipkart.com/15-sample-question-papers-mathematics-class-10-cbse/p/itmf9hve7yz3atgm?pid=9789313165866&lid=LSTBOK9789313165866B8NVY8&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=cd629208-06fa-4c8d-85be-38e5f3459132.9789313165866.SEARCH,Rs: 101, 15 Sample Question Papers Mathematics Class 10 CBSE,  DIVYA MALIK' and  ' JITENDRA GUPTA,ENGLISH,Paperback,Arihant,FOR CLASS-10,9313165864,9.78931E+12, ,2018, ,,,
https://www.flipkart.com/general-knowledge-2019/p/itmf28kyppz66gcm?pid=9789312147320&lid=LSTBOK9789312147320IXARQL&marketplace=FLIPKART&srno=b_1_26&otracker=browse&fm=organic&iid=76f0a4fb-23d5-449f-9d62-51bcfa20defd.9789312147320.SEARCH,Rs: 62, General Knowledge 2019,  unknown,English,Paperback,Arihant,Reference,9312147323,9.78931E+12,352, , ,,,
https://www.flipkart.com/new-approach-reasoning-verbal-non-verbal-verbal-non-analytical/p/itme2wy8jzy2csjy?pid=9789351765103&lid=LSTBOK9789351765103DDMEFU&marketplace=FLIPKART&srno=b_1_27&otracker=browse&fm=organic&iid=98a1dfdc-b852-45d7-8912-3abe552a6d4a.9789351765103.SEARCH,Rs: 335, A New Approach to Reasoning Verbal & Non-Verbal - Verbal- Non - Verbal & Analytical,  Sijwali B S,English,Paperback,Arihant,Education,9351765105,9.78935E+12,1202, , ,,,
https://www.flipkart.com/prepare-verbal-ability-reading-comprehension-cat/p/itmf54pf9ezdmysn?pid=9789353160197&lid=LSTBOK9789353160197EF1061&marketplace=FLIPKART&srno=b_1_28&otracker=browse&fm=organic&iid=368aa2f5-f0f8-40d5-b8ef-6b891514802c.9789353160197.SEARCH,Rs: 461, How to Prepare for Verbal Ability and Reading Comprehension for the CAT,  Sharma Arun,English,Paperback,Mcgrawhill,Education,9353160197,9.78935E+12, , , ,,,
https://www.flipkart.com/pearson-guide-gpat-other-entrance-examination-pharmacy-2019-jan-2018-paper-included-third/p/itmeuaz8w7j2hfed?pid=9789332585614&lid=LSTBOK9789332585614AMJK1H&marketplace=FLIPKART&srno=b_1_29&otracker=browse&fm=organic&iid=65f551e4-fd3e-476e-953e-0ad8507160d9.9789332585614.SEARCH,Rs: 500, The Pearson Guide to GPAT & Other Entrance Examination in Pharmacy 2019 (Jan 2018 Paper Included). Third Edition,  Umang Shah' and  ' Amit Baser' and  ' Ashok Akabari' and  ' Ashish Patel,English,Paperback,Pearson,Entrance Exams Preparation, 933258561X,9.78933E+12,808,Third- 2017, ,,,
https://www.flipkart.com/collected-works-kahlil-gibran/p/itmdyhahhdvzzmdh?pid=9789387779020&lid=LSTBOK9789387779020ADEE7R&marketplace=FLIPKART&srno=b_1_30&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWrEYhkZ6GtU55yUGBRzF4Mw,Rs: 455, Collected Works of Kahlil Gibran,  Gibran Khalil,English,Hardcover,Wonder House Books,Poetry,9387779025,9.78939E+12, , , ,,,
https://www.flipkart.com/pathfinder-nda-na-national-defence-academy-naval-entrance-examination/p/itmffzvfnyfzwtjf?pid=9789312146736&lid=LSTBOK9789312146736W3OFYO&marketplace=FLIPKART&srno=b_1_31&otracker=browse&fm=organic&iid=628dbc51-42b8-4367-b9ec-2fdf7c838f8f.9789312146736.SEARCH,Rs: 515, Pathfinder for Nda & Na National Defence Academy Naval Academy Entrance Examination,  unknown,English,Paperback,Arihant,Education,9312146734,9.78931E+12, , , ,,,
https://www.flipkart.com/31-years-neet-chapter-wise-topic-wise-solved-papers-pcb-2018-1988/p/itmf56xhnybdwgwg?pid=9789388026086&lid=LSTBOK97893880260866BL83Q&marketplace=FLIPKART&srno=b_1_32&otracker=browse&fm=organic&iid=c0dd222d-b1a2-4520-9654-ae039bb70ee6.9789388026086.SEARCH,Rs: 503, 31 Years NEET Chapter-wise & Topic-wise Solved Papers (PCB) (2018-1988),  unknown,English,Paperback,Disha,Education, 938802608X,9.78939E+12, , , ,,,
https://www.flipkart.com/power-your-subconscious-mind/p/itmfawz5jdrcvuba?pid=9780143442974&lid=LSTBOK97801434429741DUWFB&marketplace=FLIPKART&srno=b_1_33&otracker=browse&fm=organic&iid=1d23b50b-a3ae-4743-a5f3-5f3feb77c587.9780143442974.SEARCH,Rs: 98, The Power of Your Subconscious Mind,  Joseph Murphy,English,Paperback,Penguin,Self-Help, 014344297X,9.78014E+12,280,2018, ,,,
https://www.flipkart.com/was-it-love/p/itmf7fhwdgrhwzrd?pid=9789387022300&lid=LSTBOK9789387022300FCNYDQ&marketplace=FLIPKART&srno=b_1_34&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWqgXGUZh8yJguc17Kw2wjQs,Rs: 111, Was it Love?,  Neha Sultania,English,Paperback,Srishti,Romance; Contemporary; Indian Writing; Love Saga; Literature & Fiction; Thriller,9387022307,9.78939E+12,192,Jan-18, ,,,
https://www.flipkart.com/iit-jam-mathematics-solved-papers-practice-sets/p/itmf5b8bremeymmx?pid=9789313160724&lid=LSTBOK9789313160724J5KCHU&marketplace=FLIPKART&srno=b_1_35&otracker=browse&fm=organic&iid=b0ecc050-4665-4dd3-ae79-659564e4604c.9789313160724.SEARCH,Rs: 113, Iit Jam Mathematics Solved Papers and Practice Sets,  Tyagi Neha,English,Paperback,Arihant,Education,9313160722,9.78931E+12,308, , ,,,
https://www.flipkart.com/the-perfect-us/p/itmf7eg42zsech9m?pid=9780143426592&lid=LSTBOK9780143426592LFBSS3&marketplace=FLIPKART&srno=b_1_36&otracker=browse&fm=organic&iid=6310c300-5d50-474d-8efe-0f06cce27830.9780143426592.SEARCH,Rs: 103, The Perfect Us,  Datta Durjoy,English,Paperback,Penguin,Fiction,143426591,9.78014E+12,288, , ,,,
https://www.flipkart.com/object-oriented-programming-c/p/itmextjwdzgecuu6?pid=9789352607990&lid=LSTBOK9789352607990P7QTXH&marketplace=FLIPKART&srno=b_1_37&otracker=browse&fm=organic&iid=5888ebb2-5cc0-416c-b7f1-d89578129454.9789352607990.SEARCH,Rs: 315, Object-Oriented Programming with C++,  Balagurusamy,English,Paperback,Mcgrawhill,Computer Science Engineering,9352607996,9.78935E+12,576,Jul-17, ,,,
https://www.flipkart.com/15-sample-question-paper-accountancy-class-12-cbse/p/itmfbgsersgh2zt8?pid=9789313166030&lid=LSTBOK9789313166030GFX1BB&marketplace=FLIPKART&srno=b_1_38&otracker=browse&fm=organic&iid=0ff66bd8-688c-4884-b774-b64745ae61c0.9789313166030.SEARCH,Rs: 141, 15 Sample Question Paper Accountancy Class 12 CBSE,  Richa Makkar' and  ' Vishal Arora,English,Paperback,Arihant,ENTRANCE EXAM,9313166038,9.78931E+12,341,2018, ,,,
https://www.flipkart.com/bharat-ki-rajvyavastha/p/itmdx9xpxbja6qgz?pid=9789352603862&lid=LSTBOK97893526038621ZAAFG&marketplace=FLIPKART&srno=b_1_39&otracker=browse&fm=organic&iid=bcc1aa43-721d-4a5f-90c4-0d2423d3a27e.9789352603862.SEARCH,Rs: 381, Bharat Ki Rajvyavastha,  Laxmikanth M.,Hindi,Paperback,Mcgrawhill,Political Science,9352603869,9.78935E+12,880, , ,,,
https://www.flipkart.com/the-prophet/p/itmfc7gdhdxgtgve?pid=9788172343545&lid=LSTBOK9788172343545FPREFM&marketplace=FLIPKART&srno=b_1_40&otracker=browse&fm=organic&iid=en_nkDk9trJfNqiHi69eFoihivUTlQwJBDASTma3ELffWrkQnY9Cjey0r1DV8LJ2obq,Rs: 95, The prophet,  Gibran Kahlil,English,Paperback,Prakash Book Depot,Fiction, 817234354X,9.78817E+12,128, , ,,,
https://www.flipkart.com/oswaal-cbse-sample-question-paper-class-10-science-for-march-2019-exam/p/itmf96z5vhpegc8v?pid=9780258803141&lid=LSTBOK9780258803141HIBGRO&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=b3022cab-25e6-4b0d-bcb3-811f0ee0344d.9780258803141.SEARCH,Rs: 114, Oswaal CBSE Sample Question Paper Class 10 Science (For March 2019 Exam),  Panel of Experts,ENGLISH,Paperback, , ,258803142,9.78026E+12, , , ,,,
https://www.flipkart.com/indian-polity-telugu-version/p/itmee7xhuffvw7nf?pid=9789385880162&lid=LSTBOK9789385880162BUU7B7&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=9d5508ac-5498-4f22-af07-4f90ea1877ec.9789385880162.SEARCH,Rs: 425, Indian Polity (Telugu Version),  M. Laxmikanth,Telugu,Paperback,Mcgrawhill,Entrance Exams Preparation,9385880160,9.78939E+12,768,Jan-15, ,,,
https://www.flipkart.com/oswal-cbse-sample-paper-class-10-set-3-books-mathematics-science-social/p/itmf9btwmhgvvwa5?pid=RBKF9BRQ9FYZRKBT&lid=LSTRBKF9BRQ9FYZRKBTWVVJXS&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=020bf2d3-67fb-454f-9cf3-eaeb4b2e28e7.RBKF9BRQ9FYZRKBT.SEARCH,Rs: 345, Oswal Cbse Sample Paper Class 10 Set 3 Books Mathematics Science And Social Science, ,ENGLISH, ,OSWAL, , , , , , ,,,
https://www.flipkart.com/dharmayoddha-kalki-avatar-vishnu-book-1/p/itmf3xzf7kw5c447?pid=9788193503300&lid=LSTBOK9788193503300CRYKEK&marketplace=FLIPKART&srno=b_2_44&otracker=browse&fm=organic&iid=en_vloEqV9gmI8c2XQXOZ8bP6FdP%2F4km2uu4%2BRtyyBhKLpA7yYNnUvxhp121sNavgPX,Rs: 188, Dharmayoddha Kalki - Avatar of Vishnu Book 1,  Kevin Missal,English,Paperback,Fingerprint Publishing,Fiction,8193503309,9.78819E+12,464, , ,,,
https://www.flipkart.com/objective-ncert-gearup-biology-neet-aiims/p/itmf768xzcnnqgz2?pid=9788193391990&lid=LSTBOK9788193391990UAVO3I&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=17d10157-3d97-46f5-a87c-48c85ad14b80.9788193391990.SEARCH,Rs: 475, Objective NCERT GearUp Biology for NEET and AIIMS,  Warsia Noor,English,Paperback,Englishwale.com,Education,8193391993,9.78819E+12, , , ,,,
