Name,URL,Author,Price,No. of Ratings,Rating,ISBN
Indian Art and Culture,https://www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1,Nitin Singhania,357.00,388,4.5 out of 5 stars,9387067548
CBSE Chemistry Chapterwise Solved Papers Class 12th,https://www.amazon.in/Chemistry-Chapterwise-Solved-Papers-Class/dp/9313161419?_encoding=UTF8&psc=1,Not Available,152.00,97,4.2 out of 5 stars,9313161419
CBSE Chapterwise Physics Class 12th,https://www.amazon.in/CBSE-Chapterwise-Physics-Class-12th/dp/9313161427?_encoding=UTF8&psc=1,Not Available,172.00,87,4.2 out of 5 stars,9313161427
Animal Farm,https://www.amazon.in/Animal-Farm-George-Orwell/dp/8193387643?_encoding=UTF8&psc=1,George Orwell,39.00,142,4.5 out of 5 stars,8193387643
21 Lessons for the 21st Century,https://www.amazon.in/Lessons-21st-Century-Yuval-Harari/dp/1787330672?_encoding=UTF8&psc=1,Yuval Noah Harari,368.00,97,4.0 out of 5 stars,1787330672
General Knowledge 2019,https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X?_encoding=UTF8&psc=1,Manohar Pandey,102.00,242,4.1 out of 5 stars,931214734X
Diary of A Wimpy Kid: The Meltdown (Book 13) (Diary of a Wimpy Kid 13),https://www.amazon.in/Diary-Wimpy-Kid-Meltdown-Book/dp/0141378204?_encoding=UTF8&psc=1,Jeff Kinney,223.00,290,4.7 out of 5 stars,0141378204
Environment By SHANKAR (6th) Revised Edition 2018,https://www.amazon.in/Environment-SHANKAR-6th-Revised-2018/dp/B07KF7H5JS?_encoding=UTF8&psc=1,Not Available,299.00,650,4.2 out of 5 stars,B07KF7H5JS
1984,https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1,George Orwell,88.00,738,4.4 out of 5 stars,8192910903
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",https://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1,Daniel Kahneman,266.00,694,4.3 out of 5 stars,0141033576
